chapter,question,mark,subject,source,usage_freq
2,Solve IPv4 address calculations using binary and decimal notation.,7,CNS,bank,-
2,Describe DLC services including framing and protocol types.,7,CNS,bank,-
2,Examine cyclic codes and CRC operation at sender and receiver.,15,CNS,bank,-
3,State the primary responsibility of the Transport Layer.,2,CNS,bank,-
3,What is meant by a socket?,2,CNS,bank,-
3,State the concept of Stop-and-Wait protocol.,2,CNS,bank,-
3,State the purpose of Domain Name System (DNS).,2,CNS,bank,-
3,What is the function of FTP?,2,CNS,bank,-
3,Name any two Transport Layer protocols.,2,CNS,bank,-
3,State the major limitation of Stop-and-Wait protocol.,2,CNS,bank,-
3,State the purpose of UDP.,2,CNS,bank,-
3,What is meant by World Wide Web (WWW)?,2,CNS,bank,-
3,State the role of HTTP.,2,CNS,bank,-
3,Mention the major components of an e-mail system.,2,CNS,bank,-
3,Name the two operating modes of FTP.,2,CNS,bank,-
3,Describe Stop-and-Wait protocol with diagrams and FSM.,15,CNS,bank,-
3,Discuss the services provided by TCP in detail.,15,CNS,bank,-
3,Describe the Simple protocol using diagrams and FSM.,15,CNS,bank,-
3,Explain the client-server computing model with an example.,7,CNS,bank,-
3,Describe the working and importance of FTP.,7,CNS,bank,-
3,Explain the structure and operation of an e-mail system.,7,CNS,bank,-
3,Discuss the services offered by UDP.,7,CNS,bank,-
3,Explain the working of Selective Repeat protocol.,7,CNS,bank,-
4,Mention any two benefits of cloud computing.,2,CNS,bank,-
4,State the meaning of cloud computing.,2,CNS,bank,-
4,What is meant by grid computing?,2,CNS,bank,-
4,State the concept of virtualization.,2,CNS,bank,-
4,What is meant by a distributed system?,2,CNS,bank,-
4,State the concept of utility-oriented computing.,2,CNS,bank,-
4,State the meaning of service-oriented computing.,2,CNS,bank,-
4,Name any two virtualization techniques used in cloud.,2,CNS,bank,-
4,State the role of Web 2.0 in cloud computing.,2,CNS,bank,-
4,Discuss the characteristics and benefits of cloud computing.,7,CNS,bank,-
4,Analyze the major challenges faced in cloud computing.,7,CNS,bank,-
4,Discuss the contribution of Web 2.0 to cloud evolution.,7,CNS,bank,-
4,Examine service-oriented computing in detail.,7,CNS,bank,-
4,Discuss utility-oriented computing and its applications.,7,CNS,bank,-
4,Explain various cloud platforms and technologies.,15,CNS,bank,-
4,Describe virtualization and distributed systems in cloud.,15,CNS,bank,-
5,State the application sectors of community cloud.,2,CNS,bank,-
5,What is meant by hardware as a service?,2,CNS,bank,-
5,Mention key benefits of cloud computing.,2,CNS,bank,-
5,State the concept of pay-as-you-go pricing model.,2,CNS,bank,-
5,What is meant by cloud service deployment?,2,CNS,bank,-
5,State the major challenge in cloud security.,2,CNS,bank,-
5,List the open challenges in cloud computing.,2,CNS,bank,-
5,Describe cloud reference architecture and its components.,15,CNS,bank,-
5,Explain different types of cloud deployment models.,15,CNS,bank,-
5,Write a short note on economic aspects of cloud computing.,7,CNS,bank,-
5,Discuss major open challenges in cloud computing.,7,CNS,bank,-
1,What is Network Security?,2,CNS,bank,-
1,What is Packet Filters?,2,CNS,bank,-
1,What is decides to either forward or discard the packet?,2,CNS,bank,-
1,What is It is also called as?,2,CNS,bank,-
1,What is screening router?,2,CNS,bank,-
1,What is screening filter?,2,CNS,bank,-
1,What is Such a?,2,CNS,bank,-
1,What is firewall implementation?,2,CNS,bank,-
1,What is from the local network to the outside world and vice versa)?,2,CNS,bank,-
1,What is A packet filter performs the following functions?,2,CNS,bank,-
1,What is Receive each packet as it arrives?,2,CNS,bank,-
1,What is For example?,2,CNS,bank,-
1,What is The rules specified in the packet filter work as follows?,2,CNS,bank,-
1,What is a) Incoming packets from network?,2,CNS,bank,-
1,What is are not allowed. They are blocked as a security precaution?,2,CNS,bank,-
1,What is are blocked?,2,CNS,bank,-
1,What is c) Incoming packets intended for a specific internal host?,2,CNS,bank,-
1,What is d) Outgoing packets intended for port?,2,CNS,bank,-
1,What is IP Address Spoofing?,2,CNS,bank,-
1,What is Source Routing Attacks?,2,CNS,bank,-
1,What is Tiny Fragment Attacks?,2,CNS,bank,-
1,What is a) IP Address Spoofing?,2,CNS,bank,-
1,What is b) Source Routing Attacks?,2,CNS,bank,-
1,What is c) Tiny Fragment Attacks?,2,CNS,bank,-
1,What is IP packets pass through a variety of physical networks?,2,CNS,bank,-
1,What is Application Gateways?,2,CNS,bank,-
1,What is An application gateway is also called a?,2,CNS,bank,-
1,What is proxy server?,2,CNS,bank,-
1,What is Application gateways typically work as follows?,2,CNS,bank,-
1,What is set up a connection for actual communication?,2,CNS,bank,-
1,What is user id?,2,CNS,bank,-
1,What is the password?,2,CNS,bank,-
1,What is required to access the services of the application gateway?,2,CNS,bank,-
1,What is The user provides this information to the application gateway?,2,CNS,bank,-
1,"What is that there is a variation of the application gateway, called as?",2,CNS,bank,-
1,What is circuit gateway?,2,CNS,bank,-
1,What is creates a new connection between itself and the remote host?,2,CNS,bank,-
1,What is Basic Concepts?,2,CNS,bank,-
1,What is TCP/IP) protocol suite?,2,CNS,bank,-
1,What is The TCP/IP protocol suite contains?,2,CNS,bank,-
1,Explain Network Security in detail.,7,CNS,bank,-
1,Explain Packet Filters in detail.,7,CNS,bank,-
1,Explain decides to either forward or discard the packet in detail.,7,CNS,bank,-
1,Explain It is also called as in detail.,7,CNS,bank,-
1,Explain screening router in detail.,7,CNS,bank,-
1,Explain screening filter in detail.,7,CNS,bank,-
1,Explain Such a in detail.,7,CNS,bank,-
1,Explain firewall implementation in detail.,7,CNS,bank,-
1,Explain from the local network to the outside world and vice versa) in detail.,7,CNS,bank,-
1,Explain A packet filter performs the following functions in detail.,7,CNS,bank,-
1,Explain Receive each packet as it arrives in detail.,7,CNS,bank,-
1,Explain For example in detail.,7,CNS,bank,-
1,Explain The rules specified in the packet filter work as follows in detail.,7,CNS,bank,-
1,Explain a) Incoming packets from network in detail.,7,CNS,bank,-
1,Explain are not allowed. They are blocked as a security precaution in detail.,7,CNS,bank,-
1,Explain are blocked in detail.,7,CNS,bank,-
1,Explain c) Incoming packets intended for a specific internal host in detail.,7,CNS,bank,-
1,Explain d) Outgoing packets intended for port in detail.,7,CNS,bank,-
1,Explain IP Address Spoofing in detail.,7,CNS,bank,-
1,Explain Source Routing Attacks in detail.,7,CNS,bank,-
1,Explain Tiny Fragment Attacks in detail.,7,CNS,bank,-
1,Explain a) IP Address Spoofing in detail.,7,CNS,bank,-
1,Explain b) Source Routing Attacks in detail.,7,CNS,bank,-
1,Explain c) Tiny Fragment Attacks in detail.,7,CNS,bank,-
1,Explain IP packets pass through a variety of physical networks in detail.,7,CNS,bank,-
1,Explain Application Gateways in detail.,7,CNS,bank,-
1,Explain An application gateway is also called a in detail.,7,CNS,bank,-
1,Explain proxy server in detail.,7,CNS,bank,-
1,Explain Application gateways typically work as follows in detail.,7,CNS,bank,-
1,Explain set up a connection for actual communication in detail.,7,CNS,bank,-
1,Discuss Network Security with suitable diagram and applications.,15,CNS,bank,-
1,Discuss Packet Filters with suitable diagram and applications.,15,CNS,bank,-
1,Discuss decides to either forward or discard the packet with suitable diagram and applications.,15,CNS,bank,-
1,Discuss It is also called as with suitable diagram and applications.,15,CNS,bank,-
1,Discuss screening router with suitable diagram and applications.,15,CNS,bank,-
1,Discuss screening filter with suitable diagram and applications.,15,CNS,bank,-
1,Discuss Such a with suitable diagram and applications.,15,CNS,bank,-
1,Discuss firewall implementation with suitable diagram and applications.,15,CNS,bank,-
1,Discuss from the local network to the outside world and vice versa) with suitable diagram and applications.,15,CNS,bank,-
1,Discuss A packet filter performs the following functions with suitable diagram and applications.,15,CNS,bank,-
1,Discuss Receive each packet as it arrives with suitable diagram and applications.,15,CNS,bank,-
1,Discuss For example with suitable diagram and applications.,15,CNS,bank,-
1,Discuss The rules specified in the packet filter work as follows with suitable diagram and applications.,15,CNS,bank,-
1,Discuss a) Incoming packets from network with suitable diagram and applications.,15,CNS,bank,-
1,Discuss are not allowed. They are blocked as a security precaution with suitable diagram and applications.,15,CNS,bank,-
1,Discuss are blocked with suitable diagram and applications.,15,CNS,bank,-
1,Discuss c) Incoming packets intended for a specific internal host with suitable diagram and applications.,15,CNS,bank,-
1,Discuss d) Outgoing packets intended for port with suitable diagram and applications.,15,CNS,bank,-
1,Discuss IP Address Spoofing with suitable diagram and applications.,15,CNS,bank,-
1,Discuss Source Routing Attacks with suitable diagram and applications.,15,CNS,bank,-
5,What is Computer-Based Asymmetric-Key Cryptography Algorithms?,2,CNS,bank,-
5,What is Overview Of Asymmetric-Key Cryptography?,2,CNS,bank,-
5,What is wants to send a message to?,2,CNS,bank,-
5,What is exactly reverse steps take place?,2,CNS,bank,-
5,What is encrypts the message using?,2,CNS,bank,-
5,What is A’s public key?,2,CNS,bank,-
5,"What is Therefore, only?",2,CNS,bank,-
5,"What is can decrypt the message back to its original form, using?",2,CNS,bank,-
5,What is her private key?,2,CNS,bank,-
5,What is Rsa Algorithm?,2,CNS,bank,-
5,What is The RSA algorithm is the most popular and proven asymmetric-key cryptographic algorithm?,2,CNS,bank,-
5,What is For instance?,2,CNS,bank,-
5,"What is is a prime number, because it can be divided only by?",2,CNS,bank,-
5,What is not a prime number?,2,CNS,bank,-
5,What is because other than by?,2,CNS,bank,-
5,What is it can?,2,CNS,bank,-
5,What is also be divided by 2?,2,CNS,bank,-
5,What is are non-prime numbers?,2,CNS,bank,-
5,What is The private and public keys in RSA are based on?,2,CNS,bank,-
5,What is very large?,2,CNS,bank,-
5,What is made up of 100 or more digits?,2,CNS,bank,-
5,What is prime numbers?,2,CNS,bank,-
5,What is The algorithm itself is quite simple (unlike the symmetric-key cryptographic algorithms)?,2,CNS,bank,-
5,"What is However, the?",2,CNS,bank,-
5,What is real challenge in the case?,2,CNS,bank,-
5,What is of RSA is the selection and?,2,CNS,bank,-
5,What is generation of the public and private keys?,2,CNS,bank,-
5,What is Let us now understand?,2,CNS,bank,-
5,What is how the public and private keys are generated?,2,CNS,bank,-
5,"What is Let P = 7, Q = 17?",2,CNS,bank,-
5,What is Security of RSA?,2,CNS,bank,-
5,What is Some of the main possible attacks on RSA?,2,CNS,bank,-
5,What is Plain-text Attacks?,2,CNS,bank,-
5,What is Chosen-cipher text attack?,2,CNS,bank,-
5,What is Factorization Attack?,2,CNS,bank,-
5,What is Attacks on the Encryption Key?,2,CNS,bank,-
5,What is Attacks on the Decryption Key?,2,CNS,bank,-
5,What is The plain-text attacks are classified further into three sub-categories?,2,CNS,bank,-
5,What is a) Short-message Attack?,2,CNS,bank,-
5,What is b) Cycling Attack?,2,CNS,bank,-
5,Explain Computer-Based Asymmetric-Key Cryptography Algorithms in detail.,7,CNS,bank,-
5,Explain Overview Of Asymmetric-Key Cryptography in detail.,7,CNS,bank,-
5,Explain wants to send a message to in detail.,7,CNS,bank,-
5,Explain exactly reverse steps take place in detail.,7,CNS,bank,-
5,Explain encrypts the message using in detail.,7,CNS,bank,-
5,Explain A’s public key in detail.,7,CNS,bank,-
5,"Explain Therefore, only in detail.",7,CNS,bank,-
5,"Explain can decrypt the message back to its original form, using in detail.",7,CNS,bank,-
5,Explain her private key in detail.,7,CNS,bank,-
5,Explain Rsa Algorithm in detail.,7,CNS,bank,-
5,Explain The RSA algorithm is the most popular and proven asymmetric-key cryptographic algorithm in detail.,7,CNS,bank,-
5,Explain For instance in detail.,7,CNS,bank,-
5,"Explain is a prime number, because it can be divided only by in detail.",7,CNS,bank,-
5,Explain not a prime number in detail.,7,CNS,bank,-
5,Explain because other than by in detail.,7,CNS,bank,-
5,Explain it can in detail.,7,CNS,bank,-
5,Explain also be divided by 2 in detail.,7,CNS,bank,-
5,Explain are non-prime numbers in detail.,7,CNS,bank,-
5,Explain The private and public keys in RSA are based on in detail.,7,CNS,bank,-
5,Explain very large in detail.,7,CNS,bank,-
5,Explain made up of 100 or more digits in detail.,7,CNS,bank,-
5,Explain prime numbers in detail.,7,CNS,bank,-
5,Explain The algorithm itself is quite simple (unlike the symmetric-key cryptographic algorithms) in detail.,7,CNS,bank,-
5,"Explain However, the in detail.",7,CNS,bank,-
5,Explain real challenge in the case in detail.,7,CNS,bank,-
5,Explain of RSA is the selection and in detail.,7,CNS,bank,-
5,Explain generation of the public and private keys in detail.,7,CNS,bank,-
5,Explain Let us now understand in detail.,7,CNS,bank,-
5,Explain how the public and private keys are generated in detail.,7,CNS,bank,-
5,"Explain Let P = 7, Q = 17 in detail.",7,CNS,bank,-
5,Discuss Computer-Based Asymmetric-Key Cryptography Algorithms with suitable diagram and applications.,15,CNS,bank,-
5,Discuss Overview Of Asymmetric-Key Cryptography with suitable diagram and applications.,15,CNS,bank,-
5,Discuss wants to send a message to with suitable diagram and applications.,15,CNS,bank,-
5,Discuss exactly reverse steps take place with suitable diagram and applications.,15,CNS,bank,-
5,Discuss encrypts the message using with suitable diagram and applications.,15,CNS,bank,-
5,Discuss A’s public key with suitable diagram and applications.,15,CNS,bank,-
5,"Discuss Therefore, only with suitable diagram and applications.",15,CNS,bank,-
5,"Discuss can decrypt the message back to its original form, using with suitable diagram and applications.",15,CNS,bank,-
5,Discuss her private key with suitable diagram and applications.,15,CNS,bank,-
5,Discuss Rsa Algorithm with suitable diagram and applications.,15,CNS,bank,-
5,Discuss The RSA algorithm is the most popular and proven asymmetric-key cryptographic algorithm with suitable diagram and applications.,15,CNS,bank,-
5,Discuss For instance with suitable diagram and applications.,15,CNS,bank,-
5,"Discuss is a prime number, because it can be divided only by with suitable diagram and applications.",15,CNS,bank,-
5,Discuss not a prime number with suitable diagram and applications.,15,CNS,bank,-
5,Discuss because other than by with suitable diagram and applications.,15,CNS,bank,-
5,Discuss it can with suitable diagram and applications.,15,CNS,bank,-
5,Discuss also be divided by 2 with suitable diagram and applications.,15,CNS,bank,-
5,Discuss are non-prime numbers with suitable diagram and applications.,15,CNS,bank,-
5,Discuss The private and public keys in RSA are based on with suitable diagram and applications.,15,CNS,bank,-
5,Discuss very large with suitable diagram and applications.,15,CNS,bank,-
4,What is Computer-Based Symmetric-Key Cryptographic Algorithms?,2,CNS,bank,-
4,What is Algorithm Modes?,2,CNS,bank,-
4,What is Cipher Block Chaining (CBC) Mode?,2,CNS,bank,-
4,What is Cipher Block Chaining (CBC)?,2,CNS,bank,-
4,What is The first step receives?,2,CNS,bank,-
4,What is two inputs?,2,CNS,bank,-
4,What is Initialization Vector (IV)?,2,CNS,bank,-
4,What is Cipher Feedback (CFB) Mode?,2,CNS,bank,-
4,What is stream cipher must be used?,2,CNS,bank,-
4,What is The Cipher Feedback (CFB) mode is useful in such cases?,2,CNS,bank,-
4,What is In this mode?,2,CNS,bank,-
4,What is data is encrypted in units that are smaller (?,2,CNS,bank,-
4,What is e.g. they could be of size 8 bits?,2,CNS,bank,-
4,What is than a defined block size (?,2,CNS,bank,-
4,What is which is usually 64 bits?,2,CNS,bank,-
4,What is Output Feedback (OFB)?,2,CNS,bank,-
4,What is cipher text is fed into the next stage of encryption process?,2,CNS,bank,-
4,What is An Overview Of Symmetric-Key Cryptography?,2,CNS,bank,-
4,"What is Symmetric-key cryptography is referred to by various other terms, such as?",2,CNS,bank,-
4,What is secret-key cryptography?,2,CNS,bank,-
4,What is parties must agree upon the key?,2,CNS,bank,-
4,"What is before any transmission begins, and nobody else should know about it?",2,CNS,bank,-
4,"What is Basically, at the?",2,CNS,bank,-
4,What is sender’s end (A)?,2,CNS,bank,-
4,What is the key transforms the plain-text message into a cipher-text form. At the?,2,CNS,bank,-
4,What is receiver’s end (B)?,2,CNS,bank,-
4,What is In practical situations?,2,CNS,bank,-
4,What is symmetric-key cryptography has a few problems?,2,CNS,bank,-
4,What is The first problem here is that of?,2,CNS,bank,-
4,What is key agreement?,2,CNS,bank,-
4,What is key distribution?,2,CNS,bank,-
4,What is The problem is: in the first place?,2,CNS,bank,-
4,What is how do two parties agree on a key??,2,CNS,bank,-
4,What is One solution is that somebody from the sender’s end?,2,CNS,bank,-
4,What is physically visits?,2,CNS,bank,-
4,What is the receiver and hands over the key. Another way is to?,2,CNS,bank,-
4,What is courier a paper?,2,CNS,bank,-
4,What is send the key over the network?,2,CNS,bank,-
4,"What is to B and ask for confirmation. But then, if an?",2,CNS,bank,-
4,What is intruder gets the message?,2,CNS,bank,-
4,Explain Computer-Based Symmetric-Key Cryptographic Algorithms in detail.,7,CNS,bank,-
4,Explain Algorithm Modes in detail.,7,CNS,bank,-
4,Explain Cipher Block Chaining (CBC) Mode in detail.,7,CNS,bank,-
4,Explain Cipher Block Chaining (CBC) in detail.,7,CNS,bank,-
4,Explain The first step receives in detail.,7,CNS,bank,-
4,Explain two inputs in detail.,7,CNS,bank,-
4,Explain Initialization Vector (IV) in detail.,7,CNS,bank,-
4,Explain Cipher Feedback (CFB) Mode in detail.,7,CNS,bank,-
4,Explain stream cipher must be used in detail.,7,CNS,bank,-
4,Explain The Cipher Feedback (CFB) mode is useful in such cases in detail.,7,CNS,bank,-
4,Explain In this mode in detail.,7,CNS,bank,-
4,Explain data is encrypted in units that are smaller ( in detail.,7,CNS,bank,-
4,Explain e.g. they could be of size 8 bits in detail.,7,CNS,bank,-
4,Explain than a defined block size ( in detail.,7,CNS,bank,-
4,Explain which is usually 64 bits in detail.,7,CNS,bank,-
4,Explain Output Feedback (OFB) in detail.,7,CNS,bank,-
4,Explain cipher text is fed into the next stage of encryption process in detail.,7,CNS,bank,-
4,Explain An Overview Of Symmetric-Key Cryptography in detail.,7,CNS,bank,-
4,"Explain Symmetric-key cryptography is referred to by various other terms, such as in detail.",7,CNS,bank,-
4,Explain secret-key cryptography in detail.,7,CNS,bank,-
4,Explain parties must agree upon the key in detail.,7,CNS,bank,-
4,"Explain before any transmission begins, and nobody else should know about it in detail.",7,CNS,bank,-
4,"Explain Basically, at the in detail.",7,CNS,bank,-
4,Explain sender’s end (A) in detail.,7,CNS,bank,-
4,Explain the key transforms the plain-text message into a cipher-text form. At the in detail.,7,CNS,bank,-
4,Explain receiver’s end (B) in detail.,7,CNS,bank,-
4,Explain In practical situations in detail.,7,CNS,bank,-
4,Explain symmetric-key cryptography has a few problems in detail.,7,CNS,bank,-
4,Explain The first problem here is that of in detail.,7,CNS,bank,-
4,Explain key agreement in detail.,7,CNS,bank,-
4,Discuss Computer-Based Symmetric-Key Cryptographic Algorithms with suitable diagram and applications.,15,CNS,bank,-
4,Discuss Algorithm Modes with suitable diagram and applications.,15,CNS,bank,-
4,Discuss Cipher Block Chaining (CBC) Mode with suitable diagram and applications.,15,CNS,bank,-
4,Discuss Cipher Block Chaining (CBC) with suitable diagram and applications.,15,CNS,bank,-
4,Discuss The first step receives with suitable diagram and applications.,15,CNS,bank,-
4,Discuss two inputs with suitable diagram and applications.,15,CNS,bank,-
4,Discuss Initialization Vector (IV) with suitable diagram and applications.,15,CNS,bank,-
4,Discuss Cipher Feedback (CFB) Mode with suitable diagram and applications.,15,CNS,bank,-
4,Discuss stream cipher must be used with suitable diagram and applications.,15,CNS,bank,-
4,Discuss The Cipher Feedback (CFB) mode is useful in such cases with suitable diagram and applications.,15,CNS,bank,-
4,Discuss In this mode with suitable diagram and applications.,15,CNS,bank,-
4,Discuss data is encrypted in units that are smaller ( with suitable diagram and applications.,15,CNS,bank,-
4,Discuss e.g. they could be of size 8 bits with suitable diagram and applications.,15,CNS,bank,-
4,Discuss than a defined block size ( with suitable diagram and applications.,15,CNS,bank,-
4,Discuss which is usually 64 bits with suitable diagram and applications.,15,CNS,bank,-
4,Discuss Output Feedback (OFB) with suitable diagram and applications.,15,CNS,bank,-
4,Discuss cipher text is fed into the next stage of encryption process with suitable diagram and applications.,15,CNS,bank,-
4,Discuss An Overview Of Symmetric-Key Cryptography with suitable diagram and applications.,15,CNS,bank,-
4,"Discuss Symmetric-key cryptography is referred to by various other terms, such as with suitable diagram and applications.",15,CNS,bank,-
4,Discuss secret-key cryptography with suitable diagram and applications.,15,CNS,bank,-
